Median Household Income-Number; NaturalBreaks
Data downloaded on 28-October-2025
County_FIPS,County,State,Obesity-2014-Percentage,Median Household Income-2022 & 2018-2022-Number
13059,Clarke County,Georgia,23.7,49832
30079,Prairie County,Montana,24.9,49838
48343,Morris County,Texas,27.6,49847
30101,Toole County,Montana,25.3,49850
29011,Barton County,Missouri,28.2,49857
45047,Greenwood County,South Carolina,31,49867
13009,Baldwin County,Georgia,30.9,49883
13119,Franklin County,Georgia,26.2,49940
04017,Navajo County,Arizona,28.6,49948
37181,Vance County,North Carolina,28.9,49961
35007,Colfax County,New Mexico,23.7,49966
29009,Barry County,Missouri,26.8,49968
37079,Greene County,North Carolina,28.5,49992
21069,Fleming County,Kentucky,30.8,50012
01049,Dekalb County,Alabama,27.1,50037
46041,Dewey County,South Dakota,37.6,50048
13245,Richmond County,Georgia,32.2,50079
28159,Winston County,Mississippi,28.7,50082
29119,Mcdonald County,Missouri,24.2,50100
12059,Holmes County,Florida,29.4,50118
13007,Baker County,Georgia,30,50129
26053,Gogebic County,Michigan,27.8,50142
51037,Charlotte County,Virginia,25.7,50151
47131,Obion County,Tennessee,29.9,50159
40097,Mayes County,Oklahoma,28.8,50174
12093,Okeechobee County,Florida,29,50176
26063,Huron County,Michigan,26.6,50177
48169,Garza County,Texas,28.9,50255
05139,Union County,Arkansas,30.5,50258
47175,Van Buren County,Tennessee,25.4,50260
05149,Yell County,Arkansas,28.8,50275
